state,date,positive,probable_cases,total_case,total_test_results,death,positive_increase,death_increase,data_quality_grade
florida,2020-11-21,918240,66684,984924,11570159,18152,8175,42,A
florida,2020-11-20,910065,64816,974881,11456461,18110,8831,80,A
florida,2020-11-19,901234,62684,963918,11348596,18030,8882,81,A
florida,2020-11-18,892352,60331,952683,11237905,17949,7727,88,A
florida,2020-11-17,884625,58051,942676,11150840,17861,7285,86,A
florida,2020-11-16,877340,56103,933443,11073495,17775,4530,41,A
florida,2020-11-15,872810,55411,928221,11022168,17734,9820,30,A
florida,2020-11-14,862990,51909,914899,10899389,17704,4405,45,A
florida,2020-11-13,858585,50614,909199,10861776,17659,6760,74,A
florida,2020-11-12,851825,48605,900430,10783307,17585,5504,73,A
florida,2020-11-11,846321,47317,893638,10714303,17512,5669,52,A
florida,2020-11-10,840652,45792,886444,10646926,17460,4282,69,A
florida,2020-11-09,836370,44775,881145,10600474,17391,3845,58,A
florida,2020-11-08,832525,44258,876783,10555504,17333,6619,22,A
florida,2020-11-07,825906,43003,868909,10453650,17311,4380,87,A
florida,2020-11-06,821526,41864,863390,10405346,17224,5150,54,A
florida,2020-11-05,816376,40426,856802,10328997,17170,6120,39,A
florida,2020-11-04,810256,38892,849148,10236958,17131,4332,32,A
florida,2020-11-03,805924,37795,843719,10182460,17099,4553,56,A
florida,2020-11-02,801371,36543,837914,10126764,17043,4569,46,A
florida,2020-11-01,796802,34128,830930,10086898,16997,4805,28,A
florida,2020-10-31,791997,34559,826556,9979348,16969,2283,42,A
florida,2020-10-30,789714,33965,823679,9943626,16927,5383,73,A
florida,2020-10-29,784331,32774,817105,9855604,16854,4111,79,A
florida,2020-10-28,780220,31643,811863,9774192,16775,4005,66,A
florida,2020-10-27,776215,30386,806601,9703491,16709,4226,57,A
florida,2020-10-26,771989,29401,801390,9638950,16652,3336,20,A
florida,2020-10-25,768653,28889,797542,9582390,16632,2348,12,A
florida,2020-10-24,766305,28470,794775,9532175,16620,4381,76,A
florida,2020-10-23,761924,27716,789640,9411692,16544,3618,74,A
florida,2020-10-22,758306,26846,785152,9318880,16470,5461,162,A
florida,2020-10-21,752845,25856,778701,9221524,16308,2106,0,A
florida,2020-10-20,750739,25168,775907,9189623,16308,3556,86,A
florida,2020-10-19,747183,24557,771740,9131321,16222,1691,54,A
florida,2020-10-18,745492,24374,769866,9095257,16168,2474,50,A
florida,2020-10-17,743018,24102,767120,9042143,16118,3968,88,A
florida,2020-10-16,739050,23558,762608,8965336,16030,3365,98,A
florida,2020-10-15,735685,22897,758582,8887690,15932,3286,144,A
florida,2020-10-14,732399,22235,754634,8824105,15788,2808,66,A
florida,2020-10-13,729591,21581,751172,8771490,15722,2657,123,A
florida,2020-10-12,726934,21184,748118,8717711,15599,1519,47,A
florida,2020-10-11,725415,21017,746432,8680909,15552,5414,180,A
florida,2020-10-10,720001,20267,740268,8575105,15372,0,0,A
florida,2020-10-09,720001,20267,740268,8552582,15372,2853,118,A
florida,2020-10-08,717148,19960,737108,8482940,15254,3246,170,A
florida,2020-10-07,713902,19541,733443,8411529,15084,2544,139,A
florida,2020-10-06,711358,19023,730381,8350705,14945,2201,59,A
florida,2020-10-05,709157,18553,727710,8307712,14886,1406,41,A
florida,2020-10-04,707751,18498,726249,8272347,14845,1786,42,A
florida,2020-10-03,705965,18265,724230,8222917,14803,2753,73,A
florida,2020-10-02,703212,17832,721044,8164667,14730,2610,111,A
florida,2020-10-01,700602,17454,718056,8094054,14619,2551,131,A
florida,2020-09-30,698051,16922,714973,8034148,14488,1880,175,A
florida,2020-09-29,696171,16658,712829,7993421,14313,3209,106,A
florida,2020-09-28,692962,16250,709212,7929199,14207,728,5,A
florida,2020-09-27,692234,16201,708435,7910195,14202,1847,12,A
florida,2020-09-26,690387,16057,706444,7864927,14190,2731,107,A
florida,2020-09-25,687656,15747,703403,7798487,14083,2809,122,A
florida,2020-09-24,684847,15391,700238,7732872,13961,2477,179,A
florida,2020-09-23,682370,15029,697399,7674776,13782,2594,203,A
florida,2020-09-22,679776,14582,694358,7625850,13579,2414,99,A
florida,2020-09-21,677362,14190,691552,7585328,13480,1671,21,A
florida,2020-09-20,675691,14185,689876,7547048,13459,2497,9,A
florida,2020-09-19,673194,14047,687241,7493574,13450,3510,63,A
florida,2020-09-18,669684,13708,683392,7415354,13387,3177,140,A
florida,2020-09-17,666507,13418,679925,7339212,13247,3273,147,A
florida,2020-09-16,663234,13049,676283,7266009,13100,2288,154,A
florida,2020-09-15,660946,12667,673613,7214436,12946,2743,146,A+
florida,2020-09-14,658203,12404,670607,7151340,12800,1718,36,A+
florida,2020-09-13,656485,12305,668790,7105309,12764,2395,8,A+
florida,2020-09-12,654090,12226,666316,7049267,12756,3168,98,A+
florida,2020-09-11,650922,11798,662720,6977912,12658,3604,176,A+
florida,2020-09-10,647318,11408,658726,6911776,12482,2537,213,A+
florida,2020-09-09,644781,10994,655775,6865939,12269,2006,202,A+
florida,2020-09-08,642775,10629,653404,6827065,12067,1797,44,A+
florida,2020-09-07,640978,10499,651477,6790731,12023,1812,22,A+
florida,2020-09-06,639166,10435,649601,6749937,12001,2513,38,A+
florida,2020-09-05,636653,10277,646930,6699970,11963,3593,60,A+
florida,2020-09-04,633060,9900,642960,6638472,11903,3147,103,A+
florida,2020-09-03,629913,9581,639494,6575983,11800,3487,149,A+
florida,2020-09-02,626426,9193,635619,6518566,11651,2310,130,A+
florida,2020-09-01,624116,8876,632992,6474550,11521,7487,190,A+
florida,2020-08-31,616629,8520,625149,6364260,11331,1876,68,A+
florida,2020-08-30,614753,8417,623170,6330707,11263,2547,14,A+
florida,2020-08-29,612206,8314,620520,6278817,11249,3132,150,A+
florida,2020-08-28,609074,8092,617166,6215891,11099,3732,88,A
florida,2020-08-27,605342,7834,613176,6150627,11011,3229,139,A
florida,2020-08-26,602113,7509,609622,6099975,10872,2937,155,A
florida,2020-08-25,599176,7187,606363,6043455,10717,2665,183,A
florida,2020-08-24,596511,6920,603431,6007222,10534,2224,72,A
florida,2020-08-23,594287,6658,600945,5968059,10462,3004,51,A
florida,2020-08-22,591283,6603,597886,5915679,10411,4260,107,A
florida,2020-08-21,587023,6435,593458,5830583,10304,4616,118,A
florida,2020-08-20,582407,6092,588499,5763199,10186,4516,119,A
florida,2020-08-19,577891,5812,583703,5696967,10067,4080,174,A
florida,2020-08-18,573811,5650,579461,5639141,9893,3787,219,B
florida,2020-08-17,570024,5496,575520,5590913,9674,2649,87,B
florida,2020-08-16,567375,5474,572849,5558341,9587,3747,107,A
florida,2020-08-15,563628,5457,569085,5509603,9480,6291,204,A
florida,2020-08-14,557337,5337,562674,5428856,9276,7997,229,A
florida,2020-08-13,549340,NA,NA,5354124,9047,6227,149,A
florida,2020-08-12,543113,NA,NA,5289628,8898,8095,213,A
florida,2020-08-11,535018,NA,NA,5222659,8685,5762,277,A
florida,2020-08-10,529256,NA,NA,5167187,8408,4150,93,A
florida,2020-08-09,525106,NA,NA,5119253,8315,6139,77,A
florida,2020-08-08,518967,NA,NA,5047703,8238,8343,187,A
florida,2020-08-07,510624,NA,NA,4964316,8051,7541,180,A
florida,2020-08-06,503083,NA,NA,4890559,7871,7573,120,A
florida,2020-08-05,495510,NA,NA,4801814,7751,5424,225,A
florida,2020-08-04,490086,NA,NA,4752867,7526,5357,247,A
florida,2020-08-03,484729,NA,NA,4704476,7279,4814,73,A
florida,2020-08-02,479915,NA,NA,4652563,7206,7056,62,A
florida,2020-08-01,472859,NA,NA,4578231,7144,9502,178,A
florida,2020-07-31,463357,NA,NA,4493776,6966,8900,257,A
florida,2020-07-30,454457,NA,NA,4411574,6709,9835,252,A
florida,2020-07-29,444622,NA,NA,4331458,6457,9320,217,A
florida,2020-07-28,435302,NA,NA,4256937,6240,9138,191,A
florida,2020-07-27,426164,NA,NA,4180523,6049,8804,77,A
florida,2020-07-26,417360,NA,NA,4105191,5972,9246,78,A
florida,2020-07-25,408114,NA,NA,4023711,5894,12045,126,A
florida,2020-07-24,396069,NA,NA,3921208,5768,12320,136,A
florida,2020-07-23,383749,NA,NA,3830539,5632,10112,173,A
florida,2020-07-22,373637,NA,NA,3750496,5459,9664,140,A
florida,2020-07-21,363973,NA,NA,3661911,5319,9263,136,A
florida,2020-07-20,354710,NA,NA,3595456,5183,10405,92,A
florida,2020-07-19,344305,NA,NA,3526542,5091,12385,89,A
florida,2020-07-18,331920,NA,NA,3424946,5002,10173,90,A
