state,poll,start_date,end_date,clinton,trump,spread
florida,Final Results,NA,NA,47.4,48.6,Trump +1.2
florida,RCP Average,2020-10-27,2020-11-06,46.4,46.6,Trump +0.2
florida,Trafalgar Group (R)Trafalgar,2020-11-06,2020-11-06,46,50,Trump +4
florida,Opinion SavvyOpinion Savvy,2020-11-05,2020-11-06,48,46,Clinton +2
florida,QuinnipiacQuinnipiac,2020-11-03,2020-11-06,46,45,Clinton +1
florida,CBS News/YouGovCBS News,2020-11-02,2020-11-04,45,45,Tie
florida,Remington Research (R)*Remington (R)*,2020-11-01,2020-11-02,45,48,Trump +3
florida,GravisGravis,2020-11-01,2020-11-02,46,45,Clinton +1
florida,FOX 13/Opinion SavvyFOX 13,2020-11-01,2020-11-02,49,45,Clinton +4
florida,GravisGravis,2020-10-31,2020-10-31,49,46,Clinton +3
florida,Remington Research (R)*Remington (R)*,2020-10-30,2020-10-30,44,48,Trump +4
florida,QuinnipiacQuinnipiac,2020-10-27,2020-11-01,46,45,Clinton +1
florida,CNN/ORCCNN/ORC,2020-10-27,2020-11-01,49,47,Clinton +2
florida,Trafalgar Group (R)Trafalgar,2020-10-27,2020-10-31,45,49,Trump +4
florida,EmersonEmerson,2020-10-26,2020-10-27,46,45,Clinton +1
florida,NY Times/SienaNYT/Siena,2020-10-25,2020-10-27,42,46,Trump +4
florida,NBC/WSJ/MaristNBC/WSJ,2020-10-25,2020-10-26,45,44,Clinton +1
florida,Dixie StrategiesDixie Strategies,2020-10-25,2020-10-26,42,46,Trump +4
florida,GravisGravis,2020-10-25,2020-10-26,48,47,Clinton +1
florida,BloombergBloomberg,2020-10-21,2020-10-24,43,45,Trump +2
florida,Florida Atlantic UniversityFAU,2020-10-21,2020-10-23,46,43,Clinton +3
florida,Univ. of North FloridaUNF,2020-10-20,2020-10-25,43,39,Clinton +4
florida,Bay News 9/SurveyUSABay News 9/SurveyUSA,2020-10-20,2020-10-24,48,45,Clinton +3
florida,Remington Research (R)*Remington (R)*,2020-10-20,2020-10-22,46,46,Tie
florida,CBS News/YouGovCBS News,2020-10-20,2020-10-21,46,43,Clinton +3
florida,FOX 13/Opinion SavvyFOX 13,2020-10-20,2020-10-20,49,45,Clinton +4
florida,QuinnipiacQuinnipiac,2020-10-10,2020-10-16,48,44,Clinton +4
florida,PPP (D)PPP (D),2020-10-12,2020-10-13,46,42,Clinton +4
florida,GravisGravis,2020-10-11,2020-10-13,46,42,Clinton +4
florida,Opinion SavvyOpinion Savvy,2020-10-10,2020-10-11,47,44,Clinton +3
florida,NBC/WSJ/MaristNBC/WSJ,2020-10-03,2020-10-05,45,42,Clinton +3
florida,GravisGravis,2020-10-04,2020-10-04,47,45,Clinton +2
florida,EmersonEmerson,2020-10-02,2020-10-04,44,45,Trump +1
florida,Univ. of North FloridaUNF,2020-09-27,2020-10-04,41,38,Clinton +3
florida,QuinnipiacQuinnipiac,2020-09-27,2020-10-02,46,41,Clinton +5
florida,FOX 13/Opinion SavvyFOX 13,2020-09-28,2020-09-29,47,46,Clinton +1
florida,Mason-DixonMason-Dixon,2020-09-27,2020-09-29,46,42,Clinton +4
florida,SuffolkSuffolk,2020-09-19,2020-09-21,44,45,Trump +1
florida,MonmouthMonmouth,2020-09-16,2020-09-19,46,41,Clinton +5
florida,NY Times/SienaNYT/Siena,2020-09-10,2020-09-14,41,40,Clinton +1
florida,CNN/ORCCNN/ORC,2020-09-07,2020-09-12,44,47,Trump +3
florida,CBS News/YouGovCBS News,2020-09-07,2020-09-09,44,42,Clinton +2
florida,JMC AnalyticsJMC Analytics,2020-09-07,2020-09-08,42,46,Trump +4
florida,PPP (D)PPP (D),2020-09-04,2020-09-06,43,44,Trump +1
florida,QuinnipiacQuinnipiac,2020-08-29,2020-09-07,43,43,Tie
florida,Mason-DixonMason-Dixon,2020-08-22,2020-08-24,44,42,Clinton +2
florida,MonmouthMonmouth,2020-08-12,2020-08-15,48,39,Clinton +9
florida,FOX 13/Opinion SavvyFOX 13,2020-08-10,2020-08-10,45,44,Clinton +1
florida,CBS News/YouGovCBS News,2020-08-10,2020-08-12,45,40,Clinton +5
florida,NBC/WSJ/MaristNBC/WSJ,2020-08-04,2020-08-10,41,36,Clinton +5
florida,QuinnipiacQuinnipiac,2020-07-30,2020-08-07,43,43,Tie
florida,Suffolk UniversitySuffolk,2020-08-01,2020-08-03,43,39,Clinton +4
florida,JMC AnalyticsJMC Analytics,2020-07-09,2020-07-10,42,47,Trump +5
florida,NBC/WSJ/MaristNBC/WSJ,2020-07-05,2020-07-11,41,36,Clinton +5
florida,QuinnipiacQuinnipiac,2020-06-30,2020-07-11,36,41,Trump +5
florida,Bay News 9/SurveyUSABay News 9/SurveyUSA,2020-06-25,2020-06-27,46,42,Clinton +4
florida,CBS News/YouGov*CBS News/YouGov*,2020-06-21,2020-06-24,44,41,Clinton +3
florida,QuinnipiacQuinnipiac,2020-06-08,2020-06-19,42,36,Clinton +6
florida,PPP (D)PPP (D),2020-06-02,2020-06-05,40,41,Trump +1
pennsylvania,Final Results,NA,NA,47.5,48.2,Trump +0.7
pennsylvania,RCP Average,2020-10-29,2020-11-05,46.2,44.3,Clinton +1.9
pennsylvania,Trafalgar Group (R)Trafalgar,2020-11-03,2020-11-05,47,48,Trump +1
pennsylvania,Morning CallMorning Call,2020-10-30,2020-11-04,44,40,Clinton +4
pennsylvania,Harper (R)Harper (R),2020-11-02,2020-11-03,46,46,Tie
pennsylvania,GravisGravis,2020-11-01,2020-11-02,47,45,Clinton +2
pennsylvania,SusquehannaSusquehanna,2020-10-31,2020-11-01,45,43,Clinton +2
pennsylvania,GravisGravis,2020-10-31,2020-10-31,47,46,Clinton +1
pennsylvania,MonmouthMonmouth,2020-10-29,2020-11-01,48,44,Clinton +4
pennsylvania,Remington Research (R)*Remington (R)*,2020-10-30,2020-10-30,45,43,Clinton +2
pennsylvania,QuinnipiacQuinnipiac,2020-10-27,2020-11-01,48,43,Clinton +5
pennsylvania,CNN/ORCCNN/ORC,2020-10-27,2020-11-01,48,44,Clinton +4
pennsylvania,Franklin & MarshallF&M,2020-10-26,2020-10-30,49,38,Clinton +11
pennsylvania,GravisGravis,2020-10-25,2020-10-30,47,44,Clinton +3
pennsylvania,CBS News/YouGovCBS News,2020-10-26,2020-10-28,48,40,Clinton +8
pennsylvania,EmersonEmerson,2020-10-25,2020-10-26,48,43,Clinton +5
pennsylvania,NY Times/SienaNYT/Siena,2020-10-23,2020-10-25,46,39,Clinton +7
pennsylvania,Morning CallMorning Call,2020-10-20,2020-10-26,45,39,Clinton +6
pennsylvania,Remington Research (R)*Remington (R)*,2020-10-20,2020-10-22,45,42,Clinton +3
pennsylvania,EmersonEmerson,2020-10-17,2020-10-19,45,41,Clinton +4
pennsylvania,QuinnipiacQuinnipiac,2020-10-10,2020-10-16,47,41,Clinton +6
pennsylvania,BloombergBloomberg,2020-10-07,2020-10-11,48,39,Clinton +9
pennsylvania,SusquehannaSusquehanna,2020-10-04,2020-10-09,44,40,Clinton +4
pennsylvania,CBS News/YouGovCBS News,2020-10-05,2020-10-07,48,40,Clinton +8
pennsylvania,NBC/WSJ/MaristNBC/WSJ,2020-10-03,2020-10-06,49,37,Clinton +12
pennsylvania,Franklin & MarshallF&M,2020-09-28,2020-10-02,47,38,Clinton +9
pennsylvania,MonmouthMonmouth,2020-09-30,2020-10-03,50,40,Clinton +10
pennsylvania,QuinnipiacQuinnipiac,2020-09-27,2020-10-02,45,41,Clinton +4
pennsylvania,CNN/ORCCNN/ORC,2020-09-20,2020-09-25,45,44,Clinton +1
pennsylvania,GravisGravis,2020-09-23,2020-09-23,46,43,Clinton +3
pennsylvania,Harper (R)Harper (R),2020-09-21,2020-09-22,45,43,Clinton +2
